#imagename,groups,profile,imagetype,description,provmethod,rootfstype,osdistroname,osupdatename,cfmdir,osname,osvers,osarch,synclists,postscripts,postbootscripts,serverrole,isdeletable,kitcomponents,comments,disable
"centos6.5-x86_64-install-compute",,"compute","linux",,"install",,"centos6.5-x86_64",,,"Linux","centos6.5","x86_64",,,,,,,,
"centos6.5-x86_64-install-openstack",,"openstack","linux",,"install",,"centos6.5-x86_64",,,"Linux","centos6.5","x86_64",,,,,,,,
"centos6.5-x86_64-install-xen",,"xen","linux",,"install",,"centos6.5-x86_64",,,"Linux","centos6.5","x86_64",,,,,,,,
"centos6.5-x86_64-install-kvm",,"kvm","linux",,"install",,"centos6.5-x86_64",,,"Linux","centos6.5","x86_64",,,,,,,,
"centos6.5-x86_64-install-storage",,"storage","linux",,"install",,"centos6.5-x86_64",,,"Linux","centos6.5","x86_64",,,,,,,,
"centos6.5-x86_64-install-all",,"all","linux",,"install",,"centos6.5-x86_64",,,"Linux","centos6.5","x86_64",,,,,,,,
"centos6.5-x86_64-install-iscsi",,"iscsi","linux",,"install",,"centos6.5-x86_64",,,"Linux","centos6.5","x86_64",,,,,,,,
"centos6.5-x86_64-netboot-compute",,"compute","linux",,"netboot",,"centos6.5-x86_64",,,"Linux","centos6.5","x86_64",,,,,,,,
"centos6.5-x86_64-netboot-xen",,"xen","linux",,"netboot",,"centos6.5-x86_64",,,"Linux","centos6.5","x86_64",,,,,,,,
"centos6.5-x86_64-netboot-kvm",,"kvm","linux",,"netboot",,"centos6.5-x86_64",,,"Linux","centos6.5","x86_64",,,,,,,,
"centos6.5-x86_64-statelite-compute",,"compute","linux",,"statelite",,"centos6.5-x86_64",,,"Linux","centos6.5","x86_64",,,,,,,,
"centos6.5-x86_64-statelite-xen",,"xen","linux",,"statelite",,"centos6.5-x86_64",,,"Linux","centos6.5","x86_64",,,,,,,,
"centos6.5-x86_64-statelite-kvm",,"kvm","linux",,"statelite",,"centos6.5-x86_64",,,"Linux","centos6.5","x86_64",,,,,,,,
